backend,configuration,trial,available,success,failure_reason,signing_latency_ms,verification_latency_ms,server_side_latency_ms,end_to_end_latency_ms
webauthn_platform,WebAuthn platform authenticator,56,True,True,,0.002792,0.008125,0.027959,5500.027959
webauthn_platform,WebAuthn platform authenticator,57,True,True,,0.0025,0.02525,0.042917,5500.042917
webauthn_platform,WebAuthn platform authenticator,58,True,True,,0.002459,0.007834,0.025625,5500.025625
webauthn_platform,WebAuthn platform authenticator,59,True,True,,0.002417,0.00775,0.024625,5500.024625
webauthn_platform,WebAuthn platform authenticator,60,True,True,,0.002333,0.007708,0.024417,5500.024417
webauthn_platform,WebAuthn platform authenticator,61,True,True,,0.015833,0.052667,0.254167,5500.254167
webauthn_platform,WebAuthn platform authenticator,62,True,True,,0.006667,0.011666,0.092792,5500.092792
webauthn_platform,WebAuthn platform authenticator,63,True,True,,0.002958,0.008583,0.029875,5500.029875
webauthn_platform,WebAuthn platform authenticator,64,True,True,,0.003792,0.009958,0.08575,5500.08575
webauthn_platform,WebAuthn platform authenticator,65,True,True,,0.002417,0.007958,0.026042,5500.026042
webauthn_platform,WebAuthn platform authenticator,66,True,True,,0.0025,0.007792,0.025,5500.025
webauthn_platform,WebAuthn platform authenticator,67,True,True,,0.002375,0.007792,0.024833,5500.024833
webauthn_platform,WebAuthn platform authenticator,68,True,True,,0.002416,0.00775,0.024542,5500.024542
webauthn_platform,WebAuthn platform authenticator,69,True,True,,0.002375,0.007791,0.024458,5500.024458
webauthn_platform,WebAuthn platform authenticator,70,True,True,,0.016625,0.012125,0.043209,5500.043209
webauthn_platform,WebAuthn platform authenticator,71,True,True,,0.0435,0.013583,0.437458,5500.437458
webauthn_platform,WebAuthn platform authenticator,72,True,True,,0.002542,0.007917,0.028,5500.028
webauthn_platform,WebAuthn platform authenticator,73,True,True,,0.002375,0.007833,0.025209,5500.025209
webauthn_platform,WebAuthn platform authenticator,74,True,True,,0.002417,0.007666,0.024833,5500.024833
webauthn_platform,WebAuthn platform authenticator,75,True,True,,0.002375,0.007667,0.024541,5500.024541
webauthn_platform,WebAuthn platform authenticator,76,True,True,,0.002375,0.007667,0.024792,5500.024792
webauthn_platform,WebAuthn platform authenticator,77,True,True,,0.002292,0.0075,0.024292,5500.024292
webauthn_platform,WebAuthn platform authenticator,78,True,True,,0.002291,0.007542,0.024209,5500.024209
webauthn_platform,WebAuthn platform authenticator,79,True,True,,0.002292,0.0075,0.024083,5500.024083
webauthn_platform,WebAuthn platform authenticator,80,True,True,,0.002292,0.007625,0.024167,5500.024167
webauthn_platform,WebAuthn platform authenticator,81,True,True,,0.002375,0.0075,0.024167,5500.024167
webauthn_platform,WebAuthn platform authenticator,82,True,True,,0.002333,0.007541,0.024,5500.024
webauthn_platform,WebAuthn platform authenticator,83,True,True,,0.00225,0.007708,0.024083,5500.024083
webauthn_platform,WebAuthn platform authenticator,84,True,True,,0.002333,0.007542,0.024041,5500.024041
webauthn_platform,WebAuthn platform authenticator,85,True,True,,0.002416,0.007875,0.025,5500.025
webauthn_platform,WebAuthn platform authenticator,86,True,True,,0.002334,0.007417,0.024125,5500.024125
webauthn_platform,WebAuthn platform authenticator,87,True,True,,0.002292,0.007583,0.023792,5500.023792
webauthn_platform,WebAuthn platform authenticator,88,True,True,,0.002334,0.0075,0.024083,5500.024083
webauthn_platform,WebAuthn platform authenticator,89,True,True,,0.002292,0.007416,0.02375,5500.02375
webauthn_platform,WebAuthn platform authenticator,90,True,True,,0.259084,0.016334,0.558125,5500.558125
webauthn_platform,WebAuthn platform authenticator,91,True,True,,0.005792,0.014417,0.147542,5500.147542
webauthn_platform,WebAuthn platform authenticator,92,True,True,,0.002708,0.028,0.050125,5500.050125
webauthn_platform,WebAuthn platform authenticator,93,True,True,,0.003166,0.008792,0.2655,5500.2655
webauthn_platform,WebAuthn platform authenticator,94,True,True,,0.002459,0.008083,0.026542,5500.026542
webauthn_platform,WebAuthn platform authenticator,95,True,True,,0.002334,0.007916,0.025042,5500.025042
webauthn_platform,WebAuthn platform authenticator,96,True,True,,0.002459,0.007666,0.024834,5500.024834
webauthn_platform,WebAuthn platform authenticator,97,True,True,,0.002375,0.007667,0.024458,5500.024458
webauthn_platform,WebAuthn platform authenticator,98,True,True,,0.002334,0.007583,0.024459,5500.024459
webauthn_platform,WebAuthn platform authenticator,99,True,True,,0.002333,0.007625,0.024291,5500.024291
webauthn_platform,WebAuthn platform authenticator,100,True,True,,0.002375,0.007667,0.024541,5500.024541
zt_authenticator,ZT-Authenticator,1,True,True,,0.0055,0.008875,0.034625,3400.034625
zt_authenticator,ZT-Authenticator,2,True,True,,0.002583,0.007916,0.021833,3400.021833
zt_authenticator,ZT-Authenticator,3,True,True,,0.002417,0.007708,0.020667,3400.020667
zt_authenticator,ZT-Authenticator,4,True,True,,0.002583,0.007666,0.020875,3400.020875
zt_authenticator,ZT-Authenticator,5,True,True,,0.002417,0.007375,0.020167,3400.020167
zt_authenticator,ZT-Authenticator,6,True,True,,0.002417,0.056667,0.070834,3400.070834
zt_authenticator,ZT-Authenticator,7,True,True,,0.018459,0.069542,0.239583,3400.239583
zt_authenticator,ZT-Authenticator,8,True,True,,0.006334,0.009125,0.035167,3400.035167
zt_authenticator,ZT-Authenticator,9,True,True,,0.002583,0.008,0.021917,3400.021917
zt_authenticator,ZT-Authenticator,10,True,True,,0.002542,0.007875,0.0215,3400.0215
zt_authenticator,ZT-Authenticator,11,True,True,,0.002458,0.007917,0.021083,3400.021083
zt_authenticator,ZT-Authenticator,12,True,True,,0.002583,0.008041,0.021666,3400.021666
zt_authenticator,ZT-Authenticator,13,True,True,,0.0025,0.00775,0.021042,3400.021042
zt_authenticator,ZT-Authenticator,14,True,True,,0.002417,0.007833,0.020875,3400.020875
zt_authenticator,ZT-Authenticator,15,True,True,,0.002416,0.007708,0.020667,3400.020667
zt_authenticator,ZT-Authenticator,16,True,True,,0.002375,0.00775,0.02075,3400.02075
zt_authenticator,ZT-Authenticator,17,True,True,,0.002458,0.007833,0.020667,3400.020667
zt_authenticator,ZT-Authenticator,18,True,True,,0.002375,0.007667,0.020583,3400.020583
zt_authenticator,ZT-Authenticator,19,True,True,,0.002416,0.007667,0.020417,3400.020417
zt_authenticator,ZT-Authenticator,20,True,True,,0.002417,0.00775,0.020834,3400.020834
zt_authenticator,ZT-Authenticator,21,True,True,,0.002375,0.007583,0.020459,3400.020459
zt_authenticator,ZT-Authenticator,22,True,True,,0.0025,0.007666,0.020542,3400.020542
zt_authenticator,ZT-Authenticator,23,True,True,,0.002417,0.007583,0.02025,3400.02025
zt_authenticator,ZT-Authenticator,24,True,True,,0.002416,0.007583,0.020292,3400.020292
zt_authenticator,ZT-Authenticator,25,True,True,,0.002375,0.007625,0.020417,3400.020417
zt_authenticator,ZT-Authenticator,26,True,True,,0.002416,0.00775,0.020375,3400.020375
zt_authenticator,ZT-Authenticator,27,True,True,,0.002375,0.007583,0.0205,3400.0205
zt_authenticator,ZT-Authenticator,28,True,True,,0.002375,0.007584,0.020167,3400.020167
zt_authenticator,ZT-Authenticator,29,True,True,,0.002375,0.007708,0.020542,3400.020542
zt_authenticator,ZT-Authenticator,30,True,True,,0.002416,0.007667,0.020583,3400.020583
zt_authenticator,ZT-Authenticator,31,True,True,,0.002417,0.007541,0.020333,3400.020333
zt_authenticator,ZT-Authenticator,32,True,True,,0.002333,0.007708,0.020458,3400.020458
zt_authenticator,ZT-Authenticator,33,True,True,,0.002375,0.016583,0.03025,3400.03025
zt_authenticator,ZT-Authenticator,34,True,True,,0.002584,0.007666,0.022,3400.022
zt_authenticator,ZT-Authenticator,35,True,True,,0.0025,0.007459,0.02025,3400.02025
zt_authenticator,ZT-Authenticator,36,True,True,,0.002375,0.0075,0.020125,3400.020125
zt_authenticator,ZT-Authenticator,37,True,True,,0.002417,0.007458,0.020083,3400.020083
zt_authenticator,ZT-Authenticator,38,True,True,,0.002375,0.0075,0.020125,3400.020125
zt_authenticator,ZT-Authenticator,39,True,True,,0.002334,0.007459,0.02,3400.02
zt_authenticator,ZT-Authenticator,40,True,True,,0.002417,0.007541,0.020125,3400.020125
zt_authenticator,ZT-Authenticator,41,True,True,,0.002458,0.007583,0.020208,3400.020208
zt_authenticator,ZT-Authenticator,42,True,True,,0.002375,0.007583,0.020042,3400.020042
zt_authenticator,ZT-Authenticator,43,True,True,,0.002375,0.007625,0.0205,3400.0205
zt_authenticator,ZT-Authenticator,44,True,True,,0.0025,0.0075,0.020542,3400.020542
zt_authenticator,ZT-Authenticator,45,True,True,,0.002375,0.007542,0.020209,3400.020209
zt_authenticator,ZT-Authenticator,46,True,True,,0.002375,0.007542,0.020459,3400.020459
zt_authenticator,ZT-Authenticator,47,True,True,,0.002417,0.007583,0.020125,3400.020125
zt_authenticator,ZT-Authenticator,48,True,True,,0.002459,0.007458,0.020084,3400.020084
zt_authenticator,ZT-Authenticator,49,True,True,,0.002416,0.007584,0.020083,3400.020083
zt_authenticator,ZT-Authenticator,50,True,True,,0.002417,0.007417,0.020042,3400.020042
zt_authenticator,ZT-Authenticator,51,True,True,,0.002375,0.007417,0.019958,3400.019958
zt_authenticator,ZT-Authenticator,52,True,True,,0.002375,0.00775,0.020209,3400.020209
zt_authenticator,ZT-Authenticator,53,True,True,,0.002375,0.007584,0.020125,3400.020125
zt_authenticator,ZT-Authenticator,54,True,True,,0.002375,0.007667,0.020375,3400.020375
zt_authenticator,ZT-Authenticator,55,True,True,,0.002417,0.007625,0.020125,3400.020125
zt_authenticator,ZT-Authenticator,56,True,True,,0.002417,0.007459,0.020083,3400.020083
zt_authenticator,ZT-Authenticator,57,True,True,,0.002417,0.007625,0.020292,3400.020292
zt_authenticator,ZT-Authenticator,58,True,True,,0.002417,0.007625,0.020375,3400.020375
zt_authenticator,ZT-Authenticator,59,True,True,,0.002458,0.007542,0.020333,3400.020333
zt_authenticator,ZT-Authenticator,60,True,True,,0.002375,0.007416,0.02025,3400.02025
zt_authenticator,ZT-Authenticator,61,True,True,,0.002375,0.007542,0.020291,3400.020291
zt_authenticator,ZT-Authenticator,62,True,True,,0.002375,0.0075,0.02,3400.02
zt_authenticator,ZT-Authenticator,63,True,True,,0.002416,0.0075,0.020083,3400.020083
zt_authenticator,ZT-Authenticator,64,True,True,,0.002416,0.0075,0.020083,3400.020083
zt_authenticator,ZT-Authenticator,65,True,True,,0.002417,0.007417,0.02025,3400.02025
zt_authenticator,ZT-Authenticator,66,True,True,,0.002334,0.007625,0.020208,3400.020208
zt_authenticator,ZT-Authenticator,67,True,True,,0.002416,0.007584,0.020208,3400.020208
zt_authenticator,ZT-Authenticator,68,True,True,,0.019666,0.087208,0.2975,3400.2975
zt_authenticator,ZT-Authenticator,69,True,True,,0.011958,0.029125,0.145875,3400.145875
